,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
76,2550,117.5,38.5,38.5,2,20.25,82,2550,90,42,156,2,41.8
6,2550,118,-31.5,0,-70,-47.6,82,2550,90,42,198,0,45
5,2550,118.5,-32.5,-32.5,-1,-16.75,82,864,90,42,240,0,49.2
75,2550,119,37.5,0,70,50,82,864,90,42,282,0,53.4
77,2550,119.5,39.5,39.5,2,20.75,81,864,90,41,323,-1,56.4
30,2550,120,-7.5,0,-47,-26.5,68,758,90,28,351,-13,45.4
14,2550,120.5,-23.5,-23.5,-16,-19.75,6,658,90,-34,0,-62,-51.4
63,2550,121,25.5,0,49,34.7,5,654,94.5,-35,-35,-1,-25
74,1824,121.5,36.5,36.5,11,23.75,4,639,99.225,-36,-71,-1,-29.2
29,2550,122,-8.5,0,-45,-25.9,5,660,104.18625,-35,-106,1,-31.1
5,2550,122.5,-32.5,-32.5,-24,-28.25,56,670,90,16,0,51,35.1
29,2550,123,-8.5,0,24,8.6,67,714,94.5,27,27,11,24.4
70,1786,123.5,32.5,0,41,33.5,67,714,99.225,27,54,0,21.6
38,1764,124,0.5,0,-32,-15.8,65,714,104.18625,25,79,-2,21.9
5,1764,124.5,-32.5,0,-33,-29.5,59,689,109.3955625,19,98,-6,18.2
10,2550,125,-27.5,-27.5,5,-11.25,44,698,114.8653406,4,0,-15,-5.1
64,1738,125.5,26.5,0,54,37.6,14,681,120.6086077,-26,0,-30,-30.6
74,2550,126,36.5,36.5,10,23.25,22,728,126.639038,-18,-18,8,-8.6
16,2550,126.5,-21.5,0,-58,-37.6,69,693,132.9709899,29,0,47,40.9
5,1680,127,-32.5,-32.5,-11,-21.75,83,698,139.6195394,43,43,14,37.1
45,1672,127.5,7.5,0,40,23,40,742,146.6005164,0,0,-43,-21.5
72,1640,128,34.5,34.5,27,30.75,5,726,153.9305422,-35,-35,-35,-42
46,2550,128.5,8.5,0,-26,-9.6,5,730,161.6270693,-35,-70,0,-28
6,2550,129,-31.5,0,-40,-32.6,33,689,165,-7,0,28,9.8
26,1573,129.5,-11.5,-11.5,20,4.25,68,726,165,28,0,35,34.3
76,1571,130,38.5,0,50,40.4,64,718,165,24,24,-4,14.8
54,1572,130,16.5,16.5,-22,-2.75,30,689,165,-10,0,-34,-23
16,2550,130,-21.5,0,-38,-27.6,22,704,165,-18,-18,-8,-16.6
46,1498,130,8.5,0,30,18.4,66,326,90,26,0,44,37.6
78,1474,130,40.5,40.5,32,36.25,70,693,94.5,30,30,4,23
71,1456,130,33.5,74,-7,17.3,66,658,99.225,26,56,-4,19.2
53,1422,130,15.5,89.5,-18,6.15,18,658,104.18625,-22,0,-48,-37.2
68,1444,130,30.5,120,15,31.7,5,658,109.3955625,-35,-35,-13,-31
74,2550,130,36.5,156.5,6,33.25,27,658,114.8653406,-13,-48,22,-1.6
70,2550,130,32.5,189,-4,29.9,66,705,120.6086077,26,0,39,35.1
69,1422,130,31.5,220.5,-1,34.15,69,710,126.639038,29,29,3,21.8
63,2550,130,25.5,246,-6,31.8,64,720,132.9709899,24,53,-5,17.2
38,2550,130,0.5,0,-25,-12.3,10,710,139.6195394,-30,0,-54,-45
19,2550,130,-18.5,0,-19,-16.9,10,706,146.6005164,-30,-30,0,-21
76,2550,130,38.5,0,57,43.9,23,712,153.9305422,-17,-47,13,-8.4
82,2550,130,44.5,44.5,6,25.25,59,744,161.6270693,19,0,36,29.4
80,2550,130,42.5,87,-2,24.7,70,736,165,30,30,11,26.5
73,2550,130,35.5,122.5,-7,22.95,59,736,165,19,49,-11,10.8
64,2550,130,26.5,149,-9,21,22,691,165,-18,0,-37,-29.3
48,2550,130,10.5,159.5,-16,12.15,7,680,165,-33,-33,-15,-30.6
27,2550,130,-10.5,0,-21,-14.7,32,720,165,-8,0,25,7.7
58,2550,130,20.5,0,31,23.7,66,679,165,26,0,34,32.6
78,2550,130,40.5,40.5,20,30.25,57,704,165,17,17,-9,7.4
80,2550,130,42.5,83,2,26.3,15,704,165,-25,0,-42,-36
79,2550,130,41.5,124.5,-1,28.55,9,693,165,-31,-31,-6,-24.7
79,2550,130,41.5,166,0,33.2,50,693,165,10,0,41,26.5
79,2550,130,41.5,207.5,0,37.35,67,693,165,27,27,17,27.4
